2676,,,,,,,,
239,r      ,239,1.054,1.731,3.473,0.2505,-0.0626,-0.2275
240,r      ,240,4.507,4.683,0.926,-0.2455,-0.0104,0.1403
241,r      ,241,3.576,3.525,3.731,-0.1748,0.2167,0.063
242,r      ,242,1.024,3.207,2.63,0.1857,0.0197,0.0889
243,r      ,243,2.755,3.089,1.192,0.129,-0.1445,0.17
244,r      ,244,2.288,2.229,1.899,-0.103,0.0695,0.0502
245,r      ,245,4.88,1.091,0.409,0.0434,-0.2504,-0.08
246,r      ,246,4.506,1.352,4.113,0.0784,0.1139,0.228
247,r      ,247,2.325,0.112,3.102,-0.1104,0.0587,0.0459
248,r      ,248,0.513,1.331,1.053,0.1506,0.3046,0.269
249,r      ,249,2.046,3.096,3.033,-0.2589,0.0622,-0.1415
250,r      ,250,1.043,1.745,1.92,-0.0072,-0.1948,0.1634
251,r      ,251,4.023,1.307,4.926,0.1674,-0.0333,-0.1257
252,r      ,252,2.875,1.077,4.558,-0.0717,0.0979,0.0802
253,r      ,253,1.23,0.793,0.549,-0.5653,0.1472,0.1684
254,r      ,254,3.741,2.412,2.754,-0.1491,-0.2641,0.1145
255,r      ,255,3.547,4.759,1.347,0.011,0.1705,-0.1901
256,r      ,256,1.941,2.443,1.861,-0.1074,0.2155,0.1282
257,r      ,257,1.808,4.436,4.516,-0.0661,0.1261,0.09
258,r      ,258,1.291,4.74,0.351,-0.1277,-0.0799,0.2216
259,r      ,259,1.02,2.534,2.348,0.2296,0.0805,-0.1285
260,r      ,260,2.826,1.799,0.998,0.0251,-0.1357,-0.1027
261,r      ,261,3.219,1.971,3.451,0.2818,-0.2145,-0.0281
262,r      ,262,2.537,4.84,3.067,0.0467,0.0922,-0.2553
263,r      ,263,4.087,0.064,0.498,-0.2225,-0.1327,0.0174
264,r      ,264,3.536,4.677,3.092,0.1172,-0.4269,-0.1109
265,r      ,265,0.689,4.501,4.394,-0.2025,0.0473,-0.0106
266,r      ,266,4.501,2.453,4.914,-0.2845,-0.2072,0.0426
267,r      ,267,4.436,4.474,2.832,0.0313,-0.0502,-0.0776
268,r      ,268,0.76,4.491,1.125,-0.0024,0.227,-0.487
269,r      ,269,0.366,3.294,2.362,0.1144,0.1004,-0.115
270,r      ,270,1.612,2.767,1.021,0.016,-0.0022,0.1127
271,r      ,271,0.149,0.341,1.516,-0.1038,-0.0914,0.0975
272,r      ,272,4.384,1.093,4.983,0.0156,0.1425,0.1321
273,r      ,273,0.618,0.438,3.414,0.1414,0.1146,0.0619
274,r      ,274,0.098,3.336,4.311,0.2908,-0.1866,-0.0486
275,r      ,275,3.822,4.099,4.948,0.228,0.0107,0.1755
276,r      ,276,4.073,3.52,0.671,-0.2451,-0.0244,0.308
277,r      ,277,1.404,4.582,3.737,0.0677,0.0012,-0.0771
278,r      ,278,3.222,1.981,4.786,0.0713,0.0113,-0.2781
279,r      ,279,0.991,0.132,2.481,-0.1743,-0.001,0.0931
280,r      ,280,4.703,1.901,0.73,0.0881,0.1246,0.0854
281,r      ,281,2.928,0.057,0.386,0.2202,0.2126,0.2247
282,r      ,282,1.624,3.303,0.2,0.0398,-0.0093,0.0571
